Date/Time (hourly average)	SWD [W/m**2]	Origin of Values
2008-11-02T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T06	ø12	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T07	ø52	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T08	ø89	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T09	ø177	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T10	ø360	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T11	ø270	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T12	ø292	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T13	ø234	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T14	ø165	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T15	ø105	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T16	ø1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T21	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T22	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T03	ø-3	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T06	ø13	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T07	ø90	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T08	ø191	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T09	ø311	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T10	ø330	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T11	ø284	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T12	ø208	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T13	ø160	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T14	ø79	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T15	ø16	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T21	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T22	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-03T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T05	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T06	ø5	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T07	ø27	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T08	ø69	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T09	ø56	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T10	ø71	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T11	ø53	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T12	ø57	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T13	ø27	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T14	ø14	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T15	ø4	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T17	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T18	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T19	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T20	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T21	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T22	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-04T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T06	ø9	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T07	ø83	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T08	ø133	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T09	ø188	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T10	ø358	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T11	ø257	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T12	ø137	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T13	ø152	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T14	ø74	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T15	ø17	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T21	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T22	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-05T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T03	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T04	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T05	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T06	ø5	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T07	ø24	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T08	ø86	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T09	ø120	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T10	ø183	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T11	ø376	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T12	ø289	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T13	ø199	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T14	ø112	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T15	ø36	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T16	ø0	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T21	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T22	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-06T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T01	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T02	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T04	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T05	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T06	ø4	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T07	ø46	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T08	ø127	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T09	ø149	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T10	ø191	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T11	ø399	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T12	ø268	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T13	ø257	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T14	ø159	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T15	ø41	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T21	ø-3	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T22	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-07T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T00	ø-3	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T03	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T04	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T06	ø5	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T07	ø56	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T08	ø127	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T09	ø333	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T10	ø378	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T11	ø408	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T12	ø317	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T13	ø268	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T14	ø123	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T15	ø24	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T21	ø-3	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T22	ø-3	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-08T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T06	ø12	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T07	ø51	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T08	ø57	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T09	ø72	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T10	ø64	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T11	ø217	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T12	ø264	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-09T13	ø272	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
