Date/Time (hourly average)	SWD [W/m**2]	Origin of Values
1997-03-07T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T06	ø40	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T07	ø196	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T08	ø370	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T09	ø515	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T10	ø624	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T11	ø676	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T12	ø659	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T13	ø591	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T14	ø476	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T15	ø314	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T16	ø134	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T17	ø16	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-08T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T06	ø39	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T07	ø190	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T08	ø360	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T09	ø505	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T10	ø612	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T11	ø661	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T12	ø640	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T13	ø570	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T14	ø460	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T15	ø303	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T16	ø134	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T17	ø17	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-09T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T06	ø44	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T07	ø202	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T08	ø380	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T09	ø529	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T10	ø635	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T11	ø680	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T12	ø672	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T13	ø595	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T14	ø480	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T15	ø313	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T16	ø139	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T17	ø17	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-10T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T06	ø48	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T07	ø208	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T08	ø386	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T09	ø533	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T10	ø628	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T11	ø682	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T12	ø663	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T13	ø585	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T14	ø461	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T15	ø305	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T16	ø133	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T17	ø15	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-11T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T06	ø46	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T07	ø193	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T08	ø362	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T09	ø466	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T10	ø612	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T11	ø667	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T12	ø654	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T13	ø589	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T14	ø473	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T15	ø313	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T16	ø142	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T17	ø18	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-12T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T05	ø1	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T06	ø57	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T07	ø229	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T08	ø408	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T09	ø568	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T10	ø650	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T11	ø695	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T12	ø697	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T13	ø609	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T14	ø486	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T15	ø318	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T16	ø149	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T17	ø23	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-13T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T05	ø1	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T06	ø49	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T07	ø203	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T08	ø379	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T09	ø526	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T10	ø647	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T11	ø702	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T12	ø696	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T13	ø643	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T14	ø521	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T15	ø352	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T16	ø166	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T17	ø21	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-14T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T05	ø1	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T06	ø69	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T07	ø255	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T08	ø434	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T09	ø583	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T10	ø685	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-15T11	ø725	https://doi.pangaea.de/10.1594/PANGAEA.758875
